order_id,order_date,ship_date,customer_id,customer_name,customer_segment,product_id,product_name,category,subcategory,quantity,sales,discount,profit,region,city,state,shipping_cost,payment_type
ORD-000022,2024-10-18 06:29:02,2024-10-20 06:29:02,CUST-9740,Madison Collins,Small Business,PROD-5789,Copiers Federal,Technology,Copiers,4,6504.37,0.11,1565.09,East,Miami,FL,80.38,PayPal
ORD-000023,2024-12-17 12:07:38,2024-12-23 12:07:38,CUST-8713,Rebecca Jefferson,Consumer,PROD-9428,Art Tonight,Office Supplies,Art,25,49970.13,0.16,17395.88,Mountain,Santa Fe,NM,21.68,PayPal
ORD-000024,2025-07-21 09:42:11,2025-07-29 09:42:11,CUST-9538,Mary Richard,Small Business,PROD-4537,Haircare Star,Health & Beauty,Haircare,49,84825.37,0.11,12126.03,South,Memphis,TN,102.46,BNPL
ORD-000025,2024-10-19 13:42:22,2024-10-25 13:42:22,CUST-8284,Kayla Evans,Retailer,PROD-1492,Cabinets Do,Furniture,Cabinets,22,16508.22,0.21,-52.72,West,Las Vegas,NV,117.12,BNPL
ORD-000026,2025-02-11 08:25:07,2025-02-18 08:25:07,CUST-4569,Norma Tran,Consumer,PROD-9133,Lighting Same,Home & Kitchen,Lighting,41,46439.76,0.3,-5066.08,West,Salt Lake City,UT,83.97,Mobile Pay
ORD-000027,2025-03-02 13:42:06,2025-03-07 13:42:06,CUST-7791,Suzanne Cannon,Retailer,PROD-5596,Accessories Citizen,Apparel,Accessories,40,7855.09,0.37,-1454.11,West,San Diego,CA,63.55,Debit
ORD-000028,2024-07-14 14:30:40,2024-07-20 14:30:40,CUST-1725,Robin Taylor,Online-Only,PROD-1772,Bookcases Second,Furniture,Bookcases,13,1829.79,0.18,227.67,South,Houston,TX,93.43,PayPal
ORD-000029,2024-07-31 07:27:23,2024-08-01 07:27:23,CUST-1377,John Salazar,Small Business,PROD-7646,Wearables Market,Technology,Wearables,31,13667.28,0.0,3787.89,Midwest,Minneapolis,MN,40.55,Mobile Pay
ORD-000030,2025-07-12 04:22:53,2025-07-19 04:22:53,CUST-7206,Andrew Phillips,Retailer,PROD-1371,Phones Whatever,Technology,Phones,5,635.75,0.14,202.9,East,Orlando,FL,98.15,PayPal
ORD-000031,2024-01-15 17:11:09,2024-01-25 17:11:09,CUST-8048,Abigail Webster,Online-Only,PROD-1849,Haircare Government,Health & Beauty,Haircare,22,28153.55,0.06,5586.39,Midwest,Minneapolis,MN,41.82,Debit
ORD-000032,2024-03-26 04:15:00,2024-04-05 04:15:00,CUST-6869,John Austin,Retailer,PROD-7998,Skincare Computer,Health & Beauty,Skincare,44,40390.34,0.31,3356.42,Mountain,Colorado Springs,CO,15.78,Mobile Pay
ORD-000033,2025-01-10 10:23:48,2025-01-20 10:23:48,CUST-6278,Jessica Olson,Enterprise,PROD-9350,Storage Media,Office Supplies,Storage,16,21913.27,0.15,4216.95,Midwest,St. Louis,MO,64.95,Cash
ORD-000034,2024-08-08 11:12:59,2024-08-09 11:12:59,CUST-3886,Desiree Tucker,Online-Only,PROD-6342,Men's Clothing Heart,Apparel,Men's Clothing,21,50923.42,0.13,14112.1,Mountain,Colorado Springs,CO,85.09,PayPal
ORD-000035,2024-08-21 16:14:06,2024-08-26 16:14:06,CUST-3387,Shane Evans,Retailer,PROD-1574,Supplements Full,Health & Beauty,Supplements,19,38599.34,0.29,13.19,East,Miami,FL,55.99,Credit
ORD-000036,2024-12-03 03:31:39,2024-12-04 03:31:39,CUST-1791,Amber Payne,Online-Only,PROD-8806,Footwear Company,Apparel,Footwear,50,21720.8,0.2,7434.8,Mountain,Cheyenne,WY,49.05,Mobile Pay
ORD-000037,2024-11-01 16:29:45,2024-11-10 16:29:45,CUST-5210,Allen Evans,Enterprise,PROD-5321,Bookcases Feeling,Furniture,Bookcases,41,40918.23,0.18,14651.58,West,Portland,OR,95.83,PayPal
ORD-000038,2025-08-18 21:30:06,2025-08-20 21:30:06,CUST-5616,Marc Graham,Enterprise,PROD-8884,Haircare Reflect,Health & Beauty,Haircare,10,4980.43,0.09,1237.93,Mountain,Billings,MT,50.58,BNPL
ORD-000039,2025-02-08 15:12:05,2025-02-15 15:12:05,CUST-8241,Patricia Green,Consumer,PROD-5969,Monitors Major,Technology,Monitors,20,13915.74,0.08,5063.34,East,New York,NY,80.2,BNPL
ORD-000040,2025-07-23 07:34:48,2025-07-27 07:34:48,CUST-8165,Joshua Pratt,Corporate,PROD-8212,Monitors Industry,Technology,Monitors,1,1672.1,0.03,358.02,West,Las Vegas,NV,97.94,Credit
ORD-000041,2024-10-29 00:20:01,2024-11-05 00:20:01,CUST-2847,Kimberly Thomas,Corporate,PROD-1509,Laptops World,Technology,Laptops,5,10418.07,0.06,3517.97,Midwest,Minneapolis,MN,103.1,Credit
ORD-000042,2024-06-02 09:34:51,2024-06-05 09:34:51,CUST-3358,Karen Bean,Consumer,PROD-8351,Cabinets Politics,Furniture,Cabinets,15,10400.61,0.31,549.66,West,Denver,CO,63.89,Cash
ORD-000043,2025-01-31 07:43:51,2025-02-06 07:43:51,CUST-1395,Kelly Hopkins,Retailer,PROD-6937,Networking Strategy,Technology,Networking,36,6652.48,0.07,1805.44,Midwest,Minneapolis,MN,70.83,PayPal
ORD-000044,2025-04-22 12:41:02,2025-05-01 12:41:02,CUST-8295,Elijah Patel,Small Business,PROD-6251,Footwear Bar,Apparel,Footwear,9,12290.27,0.14,955.31,South,Nashville,TN,69.65,Mobile Pay
ORD-000045,2025-01-10 03:56:51,2025-01-14 03:56:51,CUST-2804,Charles Coleman,Small Business,PROD-3118,Men's Clothing Professor,Apparel,Men's Clothing,25,40124.66,0.35,-2745.09,Midwest,Columbus,OH,47.57,Mobile Pay
ORD-000046,2024-01-27 07:04:23,2024-01-31 07:04:23,CUST-8732,Shelley Frazier,Online-Only,PROD-6251,Footwear Bar,Apparel,Footwear,17,19975.66,0.26,-1434.82,South,Oklahoma City,OK,53.13,Debit
ORD-000047,2024-10-22 00:17:35,2024-10-25 00:17:35,CUST-9071,James White,Consumer,PROD-7965,Appliances Continue,Office Supplies,Appliances,19,50401.95,0.11,6768.45,Mountain,Boise,ID,104.44,Mobile Pay
ORD-000048,2025-05-11 18:43:10,2025-05-15 18:43:10,CUST-5133,Jennifer Garner,Enterprise,PROD-6245,Accessories Trip,Apparel,Accessories,27,28001.55,0.36,4446.21,East,Orlando,FL,82.16,PayPal
ORD-000049,2024-10-28 13:34:40,2024-11-07 13:34:40,CUST-6036,Robert White,Small Business,PROD-1248,Footwear Bit,Apparel,Footwear,45,46283.54,0.08,15553.94,Midwest,Minneapolis,MN,15.38,Credit
ORD-000050,2025-04-03 15:09:03,2025-04-05 15:09:03,CUST-3077,Robert Leonard,Enterprise,PROD-4175,Haircare Owner,Health & Beauty,Haircare,27,8563.01,0.27,1983.38,South,Oklahoma City,OK,99.25,Mobile Pay
ORD-000051,2025-02-12 06:14:52,2025-02-20 06:14:52,CUST-2744,Vanessa Miller,Consumer,PROD-4798,Bookcases Perform,Furniture,Bookcases,3,8508.87,0.05,3576.72,West,Sacramento,CA,77.42,BNPL
ORD-000052,2024-01-21 04:30:05,2024-01-31 04:30:05,CUST-1059,Albert Navarro,Enterprise,PROD-8212,Monitors Industry,Technology,Monitors,40,64815.26,0.06,12252.06,East,Charlotte,NC,81.06,PayPal
ORD-000053,2025-03-05 16:11:23,2025-03-09 16:11:23,CUST-5818,Kelsey Smith,Retailer,PROD-5292,Accessories Real,Technology,Accessories,39,64962.03,0.1,21483.27,West,Phoenix,AZ,23.9,Credit
ORD-000054,2024-02-24 13:35:33,2024-02-25 13:35:33,CUST-1888,Linda Riddle,Small Business,PROD-1954,Fitness Equipment Clearly,Health & Beauty,Fitness Equipment,42,20889.24,0.18,3205.56,East,Boston,MA,21.38,PayPal
ORD-000055,2025-01-22 05:26:18,2025-02-01 05:26:18,CUST-1825,Teresa Turner,Consumer,PROD-9410,Women's Clothing Outside,Apparel,Women's Clothing,50,11199.51,0.37,-2313.99,South,Dallas,TX,98.27,Cash
ORD-000056,2025-05-18 11:22:58,2025-05-22 11:22:58,CUST-8678,Christopher Perez,Online-Only,PROD-1954,Fitness Equipment Clearly,Health & Beauty,Fitness Equipment,31,11657.7,0.38,-1394.54,East,Washington,DC,38.67,Debit
ORD-000057,2025-05-09 14:15:43,2025-05-17 14:15:43,CUST-8878,Laura Rasmussen,Retailer,PROD-9410,Women's Clothing Outside,Apparel,Women's Clothing,43,11466.17,0.25,-155.44,West,Los Angeles,CA,101.2,BNPL
ORD-000058,2024-04-03 01:09:58,2024-04-12 01:09:58,CUST-8669,Jennifer Huffman,Consumer,PROD-6606,Outerwear City,Apparel,Outerwear,23,3270.68,0.24,487.45,Mountain,Billings,MT,97.26,Credit
ORD-000059,2024-11-23 13:13:40,2024-11-25 13:13:40,CUST-9899,Carol Page,Small Business,PROD-4930,Chairs Case,Furniture,Chairs,49,60716.57,0.19,11824.86,West,Denver,CO,59.09,BNPL
ORD-000060,2025-07-07 04:36:25,2025-07-16 04:36:25,CUST-4923,Marisa Ross,Small Business,PROD-2549,Haircare Matter,Health & Beauty,Haircare,15,40250.16,0.04,11720.46,West,Las Vegas,NV,73.59,Mobile Pay
ORD-000061,2025-03-03 17:47:23,2025-03-13 17:47:23,CUST-2586,Eric Martin,Online-Only,PROD-4905,Men's Clothing Up,Apparel,Men's Clothing,3,5290.17,0.32,-85.98,East,New York,NY,100.08,Transfer
ORD-000062,2024-09-24 19:37:11,2024-09-25 19:37:11,CUST-4218,Gregory Chavez,Consumer,PROD-6593,Networking Next,Technology,Networking,26,49589.4,0.01,13123.36,East,Charlotte,NC,117.61,Debit
ORD-000063,2024-04-08 08:54:53,2024-04-16 08:54:53,CUST-7691,Andrew Herring,Online-Only,PROD-4833,Tables Manager,Furniture,Tables,35,56721.2,0.38,-7515.7,Midwest,Milwaukee,WI,91.84,Debit
ORD-000064,2024-06-01 20:04:01,2024-06-11 20:04:01,CUST-2198,Jessica Robinson,Retailer,PROD-6802,Outerwear Agency,Apparel,Outerwear,17,10853.64,0.13,2954.59,West,Las Vegas,NV,16.04,PayPal
ORD-000065,2024-06-17 03:46:38,2024-06-27 03:46:38,CUST-5222,Christopher Scott,Enterprise,PROD-8759,Cookware Option,Home & Kitchen,Cookware,7,18582.5,0.09,4076.4,West,Sacramento,CA,76.55,Debit
ORD-000066,2024-09-19 15:02:23,2024-09-29 15:02:23,CUST-8578,Ashley Gray,Retailer,PROD-6681,Copiers Dog,Technology,Copiers,42,83146.04,0.13,6735.44,East,Baltimore,MD,46.65,Credit
ORD-000067,2025-07-25 02:16:04,2025-07-27 02:16:04,CUST-8284,Kayla Evans,Retailer,PROD-6593,Networking Next,Technology,Networking,15,25141.48,0.13,4103.38,West,Seattle,WA,93.58,Transfer
ORD-000068,2024-06-17 14:04:25,2024-06-20 14:04:25,CUST-4470,Adam Hoffman,Small Business,PROD-7368,Outerwear Middle,Apparel,Outerwear,40,28015.62,0.36,2180.82,West,Seattle,WA,46.82,BNPL
ORD-000069,2025-01-29 05:26:52,2025-01-30 05:26:52,CUST-7881,Maria Donovan,Online-Only,PROD-5442,Women's Clothing Voice,Apparel,Women's Clothing,28,21289.69,0.29,3194.13,Mountain,Helena,MT,8.57,Debit
ORD-000070,2024-02-22 10:09:25,2024-02-29 10:09:25,CUST-5271,Sarah Williams,Retailer,PROD-7655,Supplements Full,Health & Beauty,Supplements,49,922.18,0.0,365.54,Mountain,Cheyenne,WY,95.29,Cash
ORD-000071,2024-07-22 15:03:39,2024-07-29 15:03:39,CUST-1578,Andrew White,Retailer,PROD-7680,Appliances Region,Home & Kitchen,Appliances,3,4452.53,0.27,974.09,West,Sacramento,CA,86.62,Credit
ORD-000072,2024-02-04 23:49:20,2024-02-09 23:49:20,CUST-5014,Michelle Martin,Consumer,PROD-3353,Appliances Foot,Home & Kitchen,Appliances,13,6734.52,0.25,1823.25,Midwest,Indianapolis,IN,26.06,Credit
ORD-000073,2025-07-02 05:37:31,2025-07-04 05:37:31,CUST-5287,Alisha Hill DVM,Corporate,PROD-6880,Desks Final,Furniture,Desks,21,28657.35,0.06,9541.89,South,New Orleans,LA,48.75,Mobile Pay
ORD-000074,2024-03-26 02:03:00,2024-04-01 02:03:00,CUST-2497,Justin Jones,Online-Only,PROD-4115,Cookware Win,Home & Kitchen,Cookware,1,748.51,0.27,-50.29,Midwest,Chicago,IL,24.73,Debit
ORD-000075,2024-01-08 02:22:15,2024-01-10 02:22:15,CUST-4509,Philip Taylor,Corporate,PROD-3274,Men's Clothing Almost,Apparel,Men's Clothing,19,2391.44,0.08,813.87,South,Houston,TX,49.19,Credit
ORD-000076,2024-08-03 03:10:56,2024-08-08 03:10:56,CUST-1912,Tony Peterson,Retailer,PROD-9543,Tables Speak,Furniture,Tables,2,4841.01,0.14,1487.21,Mountain,Colorado Springs,CO,95.09,PayPal
ORD-000077,2024-03-12 11:27:52,2024-03-17 11:27:52,CUST-9524,Matthew Fields,Retailer,PROD-1715,Tables Heavy,Furniture,Tables,24,60287.28,0.03,25369.92,East,Baltimore,MD,119.23,Debit
ORD-000078,2025-08-19 04:40:05,2025-08-25 04:40:05,CUST-2682,Barry Moore,Corporate,PROD-6948,Women's Clothing Easy,Apparel,Women's Clothing,16,9155.1,0.17,726.94,Mountain,Boise,ID,41.74,Credit
ORD-000079,2025-02-01 13:07:44,2025-02-07 13:07:44,CUST-4657,Mark Allen,Corporate,PROD-2937,Men's Clothing Beyond,Apparel,Men's Clothing,17,4785.37,0.16,413.48,West,Denver,CO,28.4,PayPal
ORD-000080,2024-03-18 21:26:05,2024-03-25 21:26:05,CUST-1614,Sean Hill,Consumer,PROD-6124,Paper Hope,Office Supplies,Paper,30,11641.9,0.16,751.3,East,Washington,DC,71.91,Cash
ORD-000081,2024-12-10 00:17:27,2024-12-20 00:17:27,CUST-7364,Megan Cobb,Small Business,PROD-7251,Bedding Into,Home & Kitchen,Bedding,26,46289.04,0.23,14520.94,South,Oklahoma City,OK,95.54,BNPL
ORD-000082,2024-05-01 04:25:07,2024-05-04 04:25:07,CUST-2230,Debbie Torres,Small Business,PROD-9410,Women's Clothing Outside,Apparel,Women's Clothing,33,7743.66,0.34,-1175.25,Mountain,Albuquerque,NM,90.17,Credit
ORD-000083,2025-08-25 05:34:43,2025-09-04 05:34:43,CUST-8825,Rhonda Bauer,Retailer,PROD-9828,Bedding Nature,Home & Kitchen,Bedding,15,4758.22,0.05,1290.07,East,Philadelphia,PA,75.26,Credit
ORD-000084,2024-02-01 18:02:50,2024-02-06 18:02:50,CUST-9129,Brittany Hahn,Retailer,PROD-9770,Fitness Equipment Place,Health & Beauty,Fitness Equipment,29,3965.9,0.36,66.56,Midwest,St. Louis,MO,50.54,Credit
ORD-000085,2024-05-06 03:43:07,2024-05-10 03:43:07,CUST-7388,Rachel Moore,Consumer,PROD-6698,Decor Wait,Home & Kitchen,Decor,18,9179.04,0.08,3635.4,West,Salt Lake City,UT,97.12,Debit
ORD-000086,2024-09-28 03:01:01,2024-09-30 03:01:01,CUST-5014,Michelle Martin,Consumer,PROD-8459,Decor Pattern,Home & Kitchen,Decor,12,11481.94,0.15,1202.86,Midwest,Columbus,OH,46.58,Cash
ORD-000087,2024-01-09 02:00:44,2024-01-16 02:00:44,CUST-5210,Allen Evans,Enterprise,PROD-2039,Monitors Often,Technology,Monitors,38,9150.68,0.13,3548.34,Midwest,Milwaukee,WI,41.18,Credit
ORD-000088,2024-01-05 23:34:55,2024-01-09 23:34:55,CUST-7782,David Torres,Enterprise,PROD-2907,Wearables Heavy,Technology,Wearables,47,77823.61,0.05,12296.21,Midwest,Cleveland,OH,79.72,Credit
ORD-000089,2024-11-07 10:24:10,2024-11-17 10:24:10,CUST-5555,Charles Thompson,Retailer,PROD-2220,Skincare Others,Health & Beauty,Skincare,27,62394.3,0.21,2394.9,Midwest,Indianapolis,IN,64.58,PayPal
ORD-000090,2024-01-03 10:21:27,2024-01-12 10:21:27,CUST-2539,Patricia Carey,Consumer,PROD-7680,Appliances Region,Home & Kitchen,Appliances,20,27243.81,0.33,4054.21,Midwest,Chicago,IL,68.12,Transfer
ORD-000091,2025-08-12 11:05:17,2025-08-16 11:05:17,CUST-9723,Stephen Cole,Retailer,PROD-3496,Markers Finally,Office Supplies,Markers,6,12590.44,0.05,5107.72,Midwest,Columbus,OH,76.48,Transfer
ORD-000092,2025-01-25 20:31:45,2025-01-27 20:31:45,CUST-1435,Laura Wall,Retailer,PROD-5773,Accessories Media,Apparel,Accessories,21,41875.79,0.26,9544.4,Mountain,Cheyenne,WY,118.28,Cash
ORD-000093,2024-04-20 12:13:08,2024-04-21 12:13:08,CUST-9913,Molly Bartlett,Enterprise,PROD-9254,Paper Community,Office Supplies,Paper,34,19834.92,0.0,8699.24,East,Atlanta,GA,116.93,Debit
ORD-000094,2025-04-09 22:16:55,2025-04-16 22:16:55,CUST-6488,James Drake,Retailer,PROD-8301,Haircare According,Health & Beauty,Haircare,44,1439.62,0.17,204.98,Midwest,St. Louis,MO,43.17,Cash
ORD-000095,2025-04-15 10:12:02,2025-04-20 10:12:02,CUST-9172,Stephanie Johnson,Corporate,PROD-8459,Decor Pattern,Home & Kitchen,Decor,8,6303.81,0.3,-548.91,Midwest,Columbus,OH,101.75,PayPal
ORD-000096,2025-03-13 06:38:00,2025-03-23 06:38:00,CUST-8635,Morgan Riggs,Retailer,PROD-6245,Accessories Trip,Apparel,Accessories,21,23140.17,0.32,4819.35,East,Boston,MA,98.28,Cash
ORD-000097,2024-10-18 16:41:29,2024-10-26 16:41:29,CUST-2941,Rhonda Davis,Consumer,PROD-8884,Haircare Reflect,Health & Beauty,Haircare,3,1215.01,0.26,92.26,South,Nashville,TN,7.04,Debit
ORD-000098,2025-03-04 18:44:51,2025-03-13 18:44:51,CUST-4892,Daniel Lin,Online-Only,PROD-7965,Appliances Continue,Office Supplies,Appliances,11,27868.61,0.15,2607.11,South,Houston,TX,119.42,Credit
ORD-000099,2025-07-31 15:08:10,2025-08-04 15:08:10,CUST-6430,Dale Turner,Enterprise,PROD-6948,Women's Clothing Easy,Apparel,Women's Clothing,6,2647.26,0.36,-513.3,East,Orlando,FL,34.72,Transfer
ORD-000100,2024-11-07 19:26:08,2024-11-13 19:26:08,CUST-9825,Dale Brown,Small Business,PROD-2651,Pens Him,Office Supplies,Pens,20,12905.02,0.08,5497.82,Mountain,Boise,ID,87.73,BNPL
ORD-000101,2025-09-05 23:44:28,2025-09-12 23:44:28,CUST-6649,Brenda Powers,Online-Only,PROD-7680,Appliances Region,Home & Kitchen,Appliances,11,19009.67,0.15,6255.39,Mountain,Boise,ID,70.91,PayPal
ORD-000102,2024-03-27 21:15:55,2024-04-05 21:15:55,CUST-7439,Steven Merritt,Small Business,PROD-9045,Men's Clothing Cover,Apparel,Men's Clothing,33,3502.49,0.2,1302.71,South,New Orleans,LA,102.93,Debit
ORD-000103,2024-11-02 22:56:23,2024-11-07 22:56:23,CUST-1122,Kelsey Duffy,Consumer,PROD-7283,Appliances Unit,Office Supplies,Appliances,43,26042.8,0.22,3405.88,Midwest,Cleveland,OH,50.81,Transfer
ORD-000104,2025-08-16 13:06:30,2025-08-18 13:06:30,CUST-1141,Nicole Harvey,Online-Only,PROD-1662,Phones Drive,Technology,Phones,29,6184.63,0.13,1624.09,South,Houston,TX,102.14,Cash
ORD-000105,2025-04-08 10:08:41,2025-04-17 10:08:41,CUST-4007,Rachel Gonzalez,Retailer,PROD-6937,Networking Strategy,Technology,Networking,41,7087.63,0.13,1567.39,West,Seattle,WA,106.44,Credit
ORD-000106,2024-04-28 18:17:06,2024-05-07 18:17:06,CUST-6590,Dillon White,Small Business,PROD-9543,Tables Speak,Furniture,Tables,12,27695.07,0.18,7572.27,East,Charlotte,NC,7.69,BNPL
ORD-000107,2025-06-29 05:40:16,2025-07-03 05:40:16,CUST-6003,Barbara Roberts,Consumer,PROD-8806,Footwear Company,Apparel,Footwear,26,11012.45,0.22,3583.73,South,Tampa,FL,25.35,Credit
ORD-000108,2024-11-08 22:09:56,2024-11-17 22:09:56,CUST-1673,Brooke Mcdowell,Enterprise,PROD-6251,Footwear Bar,Apparel,Footwear,39,51400.0,0.17,2281.84,Midwest,Pittsburgh,PA,47.09,Cash
ORD-000109,2025-06-20 10:37:57,2025-06-29 10:37:57,CUST-3099,Jessica Dixon,Consumer,PROD-8889,Chairs Speak,Furniture,Chairs,43,11145.56,0.21,3714.3,South,New Orleans,LA,5.92,Transfer
ORD-000110,2025-08-03 20:08:15,2025-08-04 20:08:15,CUST-9129,Brittany Hahn,Retailer,PROD-1492,Cabinets Do,Furniture,Cabinets,10,6268.94,0.34,-1258.76,Midwest,Minneapolis,MN,6.1,Transfer
ORD-000111,2024-12-02 18:51:37,2024-12-10 18:51:37,CUST-9214,Darrell Hall,Consumer,PROD-1550,Men's Clothing Child,Apparel,Men's Clothing,22,32048.56,0.24,1472.08,East,Raleigh,NC,7.38,PayPal
ORD-000112,2025-04-10 18:34:29,2025-04-19 18:34:29,CUST-8352,Michael Hart,Consumer,PROD-4798,Bookcases Perform,Furniture,Bookcases,34,66996.19,0.34,11098.49,West,Phoenix,AZ,38.53,BNPL
ORD-000113,2024-10-30 10:32:30,2024-11-02 10:32:30,CUST-8358,Jamie Gonzales,Retailer,PROD-9350,Storage Media,Office Supplies,Storage,29,38783.27,0.17,6708.69,Midwest,Indianapolis,IN,60.72,Cash
ORD-000114,2024-05-24 21:12:53,2024-05-28 21:12:53,CUST-1024,Dr. Paula Wilkinson,Retailer,PROD-7653,Storage Air,Office Supplies,Storage,39,70722.29,0.1,22418.84,South,Dallas,TX,8.88,Mobile Pay
ORD-000115,2025-04-01 07:57:43,2025-04-07 07:57:43,CUST-7710,Erin Young,Small Business,PROD-6937,Networking Strategy,Technology,Networking,40,6994.24,0.12,1608.64,South,Tampa,FL,64.07,PayPal
ORD-000116,2024-09-24 06:47:46,2024-09-25 06:47:46,CUST-4608,William Gallegos,Online-Only,PROD-5685,Cookware Raise,Home & Kitchen,Cookware,50,33656.67,0.35,-7302.33,West,Denver,CO,110.28,Cash
ORD-000117,2025-09-17 02:49:51,2025-09-20 02:49:51,CUST-1819,Stacie Mclean,Small Business,PROD-6945,Men's Clothing American,Apparel,Men's Clothing,49,45759.97,0.3,12523.27,Midwest,Minneapolis,MN,95.36,Credit
ORD-000118,2024-12-25 06:42:55,2025-01-02 06:42:55,CUST-8609,Nathan Miller,Corporate,PROD-8440,Tables Investment,Furniture,Tables,42,13774.55,0.37,2237.15,East,Washington,DC,101.78,Credit
